1,2884
2,2807
9,2356
22,2335
14,1801
8,1798
16,1686
20,1605
26,1542
43,1510
13,1320
25,1227
17,1164
60,1158
7,1143
90,1097
31,1095
53,1087
3,1070
316,1031
27,1010
320,994
56,993
77,992
40,970
36,957
66,951
42,943
87,943
41,933
10,922
6,919
44,895
47,892
48,886
23,868
15,854
4,837
58,824
18,818
67,806
84,805
119,778
92,765
127,761
59,754
117,753
98,749
35,744
64,742
19,740
61,724
52,715
12,712
70,702
49,697
116,697
107,694
103,681
126,681
112,666
80,665
24,664
54,663
5,661
82,661
86,654
63,642
21,636
50,635
152,630
79,629
106,628
45,620
68,613
101,606
165,606
142,604
75,603
71,600
265,599
95,592
121,583
94,580
360,568
37,565
120,562
62,558
30,557
38,549
143,548
33,547
174,544
72,541
34,539
104,533
177,532
139,521
162,519
51,518
148,509
29,507
109,497
89,492
65,491
55,481
46,480
78,476
11,472
144,471
154,465
158,465
76,463
100,463
115,462
171,462
108,454
135,454
132,451
128,443
166,438
184,435
153,434
192,431
122,430
96,428
73,422
99,420
172,417
141,413
182,413
105,411
164,409
186,407
131,404
155,403
197,400
111,395
74,393
206,393
448,393
215,392
183,390
85,385
189,385
218,385
147,384
178,380
113,378
159,378
123,377
57,375
161,375
198,372
173,370
231,370
97,369
226,369
149,368
138,367
118,365
157,365
163,365
213,365
181,362
88,360
179,360
216,358
110,356
220,355
223,351
225,351
307,349
421,349
199,348
202,347
137,338
207,336
230,336
176,334
136,333
214,330
203,327
217,326
32,325
221,325
227,324
146,321
246,318
150,317
276,317
83,314
228,313
129,312
238,312
130,311
151,303
205,303
196,302
145,301
160,301
224,301
91,300
233,300
271,300
209,298
190,297
242,297
235,294
269,290
134,289
200,289
195,287
234,287
344,286
272,285
264,284
180,280
299,280
251,279
252,279
286,279
358,279
294,278
229,277
248,276
253,272
385,272
288,270
274,267
268,265
270,263
187,262
256,262
0,260
243,257
351,255
263,254
114,252
244,252
266,250
332,250
349,250
281,249
319,249
301,248
250,247
279,247
125,246
211,246
348,246
386,246
204,245
237,244
303,243
313,243
330,242
310,241
93,240
240,240
355,240
292,239
140,238
305,238
394,238
222,236
185,234
275,234
262,233
298,233
427,233
327,232
314,231
212,230
302,230
167,229
260,228
296,228
193,227
309,226
39,225
374,224
258,221
280,221
282,221
289,221
300,221
417,219
409,217
311,215
324,215
191,214
318,214
364,213
284,212
291,212
383,211
278,210
293,210
322,210
334,210
354,210
372,210
321,209
363,209
376,209
277,208
304,208
493,208
267,207
326,207
393,206
401,206
387,205
201,203
208,203
345,203
405,203
285,201
368,201
361,200
457,200
341,199
295,198
437,197
219,195
249,195
255,195
398,195
210,194
328,193
340,193
366,192
411,192
236,191
347,191
357,191
369,191
440,191
329,190
443,189
336,188
343,187
402,186
315,185
342,185
399,185
335,184
